@relation 'WHR_merged_3-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.Remove-R2,1-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0'

@attribute country_name {Afghanistan,Albania,Algeria,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Belarus,Belgium,Benin,Bolivia,'Bosnia and Herzegovina',Botswana,Brazil,Bulgaria,'Burkina Faso',Burundi,Cambodia,Cameroon,Canada,'Central African Republic',Chad,Chile,China,Colombia,Comoros,Congo,'Costa Rica','C te d Ivoire',Croatia,Cyprus,Czechia,Denmark,'Dominican Republic','DR Congo',Ecuador,Egypt,'El Salvador',Estonia,Eswatini,Ethiopia,Finland,France,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Guatemala,Guinea,Haiti,Honduras,'Hong Kong SAR of China',Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kosovo,Kuwait,Kyrgyzstan,'Lao PDR',Latvia,Lebanon,Lesotho,Liberia,Libya,Lithuania,Luxembourg,Macedonia,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Mauritania,Mauritius,Mexico,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,'New Zealand',Nicaragua,Niger,Nigeria,'North Cyprus','North Macedonia',Norway,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,'Republic of Korea','Republic of Moldova',Romania,'Russian Federation',Rwanda,'Saudi Arabia',Senegal,Serbia,'Sierra Leone',Singapore,Slovakia,Slovenia,'South Africa','South Sudan',Spain,'Sri Lanka','State of Palestine',Swaziland,Sweden,Switzerland,'Taiwan Province of China',Tajikistan,Tanzania,Thailand,Togo,'Trinidad and Tobago',Tunisia,'T rkiye',Turkmenistan,Uganda,Ukraine,'United Arab Emirates','United Kingdom','United States',Uruguay,Uzbekistan,Venezuela,'Viet Nam',Yemen,Zambia,Zimbabwe,'Czech Republic',Qatar,Russia,Belize,'South Korea',Moldova,Turkey,'Hong Kong S.A.R. of China',Somalia,Vietnam,Bhutan,'Palestinian Territories','Congo (Brazzaville)','Congo (Kinshasa)','Ivory Coast',Sudan,Angola,Syria,Laos}
@attribute year numeric
@attribute ladder_score numeric
@attribute upperwhisker numeric
@attribute lowerwhisker numeric
@attribute log_gdp_per_capita numeric
@attribute social_support numeric
@attribute healthy_life_expectancy numeric
@attribute freedom_to_make_life_choices numeric
@attribute generosity numeric
@attribute perceptions_of_corruption numeric

@data
Albania,2023,0.476377,0.486024,0.466939,0.650973,0.533512,0.561126,0.774446,0.32243,0.093333
Albania,2022,0.470807,0.478932,0.462857,0.655953,0.551609,0.422164,0.590613,0.310748,0.070476
Albania,2021,0.454714,0.461202,0.448163,0.651426,0.347185,0.632366,0.541069,0.32243,0.053333
Albania,2020,0.437797,0.443054,0.432857,0.456315,0.268767,0.568162,0.514993,0.392523,0.045714
Albania,2019,0.389519,0.392783,0.386327,0.410593,0.470509,0.744063,0.477184,0.399533,0.047619
Algeria,2023,0.488756,0.493534,0.483878,0.599366,0.712466,0.49956,0.196871,0.212617,0.380952
Algeria,2022,0.481535,0.488319,0.474898,0.612494,0.784182,0.359719,0.20339,0.170561,0.289524
Algeria,2021,0.438828,0.439091,0.438776,0.617021,0.564343,0.565523,0.065189,0.247664,0.285714
Algeria,2020,0.390345,0.392365,0.388367,0.428248,0.426944,0.485488,0.029987,0.336449,0.228571
Argentina,2023,0.658758,0.666667,0.65102,0.707107,0.839812,0.514512,0.762712,0.203271,0.152381
Argentina,2022,0.624923,0.6335,0.616327,0.719783,0.844504,0.37555,0.640156,0.205607,0.15619
Argentina,2021,0.613163,0.62161,0.604898,0.720688,0.652815,0.582234,0.598435,0.189252,0.161905
Argentina,2020,0.605323,0.611181,0.599796,0.52603,0.571046,0.568162,0.584094,0.161215,0.127619
Argentina,2019,0.614813,0.619316,0.610204,0.465369,0.83445,0.747581,0.554107,0.163551,0.114286
Armenia,2023,0.50753,0.511055,0.504082,0.653689,0.687668,0.530343,0.722295,0.119159,0.329524
Armenia,2022,0.484217,0.492282,0.476122,0.663649,0.674263,0.389622,0.59322,0.123832,0.304762
Armenia,2021,0.495977,0.502503,0.489388,0.649163,0.463807,0.587511,0.602347,0.126168,0.4
Armenia,2020,0.472045,0.477055,0.466939,0.450883,0.422252,0.514512,0.578879,0.184579,0.377143
Armenia,2019,0.347019,0.350855,0.343265,0.365776,0.607909,0.682498,0.367666,0.25,0.2
Australia,2023,0.838044,0.840843,0.835306,0.839294,0.893432,0.608619,0.860495,0.525701,0.615238
Australia,2022,0.845884,0.848978,0.842653,0.859665,0.91756,0.467898,0.757497,0.565421,0.590476
Australia,2021,0.859707,0.862328,0.857347,0.860118,0.720509,0.67898,0.756193,0.602804,0.649524
Australia,2020,0.86404,0.866708,0.861633,0.657764,0.635389,0.704485,0.718383,0.679907,0.60381
Australia,2019,0.872292,0.875052,0.869592,0.593029,0.904155,0.899736,0.685789,0.759346,0.64
Austria,2023,0.806685,0.808511,0.804898,0.853327,0.809651,0.612137,0.791395,0.5,0.580952
Austria,2022,0.846297,0.848144,0.84449,0.87234,0.840483,0.470536,0.696219,0.446262,0.590476
Austria,2021,0.859913,0.860868,0.85898,0.874151,0.69504,0.680739,0.687093,0.450935,0.626667
Austria,2020,0.881576,0.881727,0.881224,0.675419,0.626005,0.687775,0.709257,0.502336,0.55619
Austria,2019,0.88694,0.886525,0.887551,0.596197,0.877346,0.880387,0.661017,0.598131,0.535238
Azerbaijan,2023,0.391582,0.397997,0.385306,0.64871,0.50134,0.436236,0.745763,0.261682,0.379048
Azerbaijan,2021,0.44935,0.44952,0.449388,0.660027,0.646783,0.492524,0.658409,0.053738,0.649524
Azerbaijan,2020,0.448937,0.446391,0.451224,0.464011,0.477882,0.475814,0.560626,0.100467,0.525714
Azerbaijan,2019,0.4477,0.442637,0.452653,0.448167,0.705764,0.64292,0.485007,0.093458,0.470476
Bahrain,2022,0.655663,0.679808,0.632041,0.852422,0.764745,0.342128,0.850065,0.464953,0.262857
Bahrain,2021,0.753456,0.765332,0.741633,0.839294,0.603887,0.549692,0.778357,0.464953,0.295238
Bahrain,2020,0.753456,0.765332,0.741633,0.637845,0.516756,0.582234,0.736636,0.574766,0.264762
Bahrain,2019,0.666804,0.683771,0.650408,0.587144,0.795576,0.737907,0.670143,0.670561,0.241905
Bangladesh,2023,0.183825,0.184397,0.183265,0.507922,0.081099,0.451187,0.885267,0.327103,0.318095
Bangladesh,2022,0.265525,0.272424,0.258776,0.512902,0.258043,0.312225,0.67927,0.324766,0.314286
Bangladesh,2021,0.445636,0.448894,0.442653,0.479855,0.325737,0.510994,0.685789,0.292056,0.35619
Bangladesh,2020,0.418816,0.418231,0.419184,0.28746,0.262735,0.452067,0.661017,0.376168,0.312381
Bangladesh,2019,0.379204,0.375678,0.382449,0.251698,0.496649,0.611258,0.662321,0.413551,0.337143
Belarus,2021,0.583041,0.592407,0.574082,0.707107,0.689678,0.55321,0.32073,0.093458,0.537143
Belarus,2020,0.523829,0.524614,0.522857,0.508828,0.589142,0.492524,0.29987,0.163551,0.379048
Belarus,2019,0.525067,0.522111,0.527959,0.461295,0.843834,0.662269,0.254237,0.21028,0.369524
Belgium,2023,0.804415,0.803296,0.80551,0.845632,0.879357,0.60686,0.825293,0.397196,0.592381
Belgium,2022,0.797194,0.795995,0.798571,0.863287,0.885389,0.46438,0.644068,0.320093,0.52
Belgium,2021,0.786053,0.788486,0.783673,0.863287,0.655496,0.671944,0.516297,0.114486,0.388571
Belgium,2020,0.792036,0.79078,0.793265,0.662291,0.58311,0.656992,0.512386,0.205607,0.35619
Belgium,2019,0.798226,0.797038,0.799184,0.586691,0.851877,0.848725,0.526728,0.343458,0.398095
Benin,2023,0.285125,0.292032,0.278571,0.413762,0,0.24978,0.614081,0.261682,0.48
Benin,2022,0.284506,0.29078,0.278367,0.418289,0.076408,0.109059,0.501956,0.266355,0.481905
Benin,2019,0.458222,0.471005,0.445714,0.165686,0.150134,0.288478,0.404172,0.46028,0.24
Bolivia,2023,0.575407,0.580935,0.570204,0.550928,0.704424,0.4292,0.812256,0.233645,0.11619
Bolivia,2022,0.554776,0.560492,0.549388,0.56134,0.709786,0.289358,0.719687,0.240654,0.114286
Bolivia,2021,0.537446,0.542136,0.532857,0.568583,0.504021,0.488127,0.692308,0.261682,0.121905
Bolivia,2020,0.561378,0.565081,0.557755,0.381168,0.438338,0.427441,0.657106,0.32243,0.121905
Bolivia,2019,0.567774,0.570922,0.564898,0.330919,0.679625,0.582234,0.623207,0.32243,0.139048
'Bosnia and Herzegovina',2023,0.594595,0.598456,0.590816,0.663196,0.797587,0.516271,0.684485,0.574766,0
'Bosnia and Herzegovina',2022,0.544254,0.555903,0.532653,0.664101,0.826408,0.377309,0.507171,0.577103,0.015238
'Bosnia and Herzegovina',2021,0.572106,0.57718,0.567143,0.664554,0.630027,0.584872,0.458931,0.570093,0.011429
'Bosnia and Herzegovina',2020,0.581391,0.584272,0.578571,0.46718,0.530161,0.543536,0.389831,0.609813,0.009524
'Bosnia and Herzegovina',2019,0.552713,0.553817,0.551633,0.415573,0.72118,0.715919,0.27249,0.616822,0.001905
Botswana,2023,0.08005,0.09345,0.067143,0.654142,0.563673,0.211961,0.614081,0.03271,0.15619
Botswana,2022,0.090778,0.123488,0.058776,0.665912,0.61193,0.076517,0.500652,0.049065,0.135238
Botswana,2021,0.098205,0.116187,0.080612,0.680398,0.460456,0.246262,0.619296,0.028037,0.194286
Botswana,2020,0.09738,0.104506,0.090204,0.49751,0.399464,0.299033,0.577575,0.063084,0.167619
Botswana,2019,0.099856,0.101794,0.097959,0.451788,0.642091,0.434477,0.538462,0.077103,0.194286
Brazil,2023,0.676088,0.684189,0.668163,0.647352,0.764745,0.48197,0.767927,0.303738,0.270476
Brazil,2022,0.64576,0.655403,0.636122,0.658216,0.752011,0.340369,0.602347,0.306075,0.260952
Brazil,2021,0.680421,0.682937,0.677959,0.661838,0.613941,0.540897,0.586701,0.306075,0.255238
Brazil,2020,0.688054,0.689403,0.686735,0.465369,0.546917,0.502199,0.54498,0.331776,0.222857
Brazil,2019,0.697545,0.697956,0.697143,0.431417,0.827748,0.673703,0.504563,0.308411,0.20381
Bulgaria,2023,0.509181,0.512933,0.50551,0.737438,0.898794,0.498681,0.683181,0.193925,0.011429
Bulgaria,2022,0.5098,0.515645,0.504082,0.740154,0.890751,0.358839,0.601043,0.247664,0.024762
Bulgaria,2021,0.4902,0.495411,0.485102,0.735627,0.6937,0.562885,0.608866,0.287383,0.04
Bulgaria,2020,0.468537,0.471631,0.465306,0.534631,0.621314,0.512753,0.518905,0.292056,0.009524
Bulgaria,2019,0.434702,0.433458,0.435714,0.47397,0.893432,0.684257,0.419817,0.242991,0
'Burkina Faso',2023,0.320404,0.328744,0.312245,0.342236,0.373324,0.240985,0.504563,0.404206,0.340952
'Burkina Faso',2022,0.338973,0.356487,0.321633,0.347669,0.459786,0.094107,0.421121,0.439252,0.215238
'Burkina Faso',2021,0.345575,0.355444,0.336122,0.352648,0.292895,0.281442,0.372881,0.434579,0.24
'Burkina Faso',2020,0.37941,0.392783,0.366327,0.16478,0.230563,0.157432,0.371578,0.425234,0.232381
'Burkina Faso',2019,0.366,0.371297,0.360612,0.136713,0.536863,0.275286,0.294654,0.434579,0.24
Burundi,2019,0.160924,0.18252,0.139796,0,0.184987,0.259455,0.233377,0.436916,0.40381
Cambodia,2023,0.277698,0.278682,0.276735,0.457673,0.597185,0.388742,1,0.397196,0.135238
Cambodia,2022,0.288426,0.291615,0.28551,0.464011,0.600536,0.248901,0.876141,0.411215,0.097143
