'country_name',year,'ladder_score',upperwhisker,lowerwhisker,'log_gdp_per_capita','social_support','healthy_life_expectancy','freedom_to_make_life_choices','generosity','perceptions_of_corruption'
Afghanistan,2023,1.721,1.775,1.667,0.628,0,0.242,0,0.091,0.088
Afghanistan,2022,1.859,1.923,1.795,0.645,0,0.087,0,0.093,0.059
Afghanistan,2021,2.404,2.469,2.339,0.758,0,0.289,0,0.089,0.005
Afghanistan,2020,2.523,2.596,2.449,0.37,0,0.126,0,0.122,0.01
Afghanistan,2019,2.567,2.628,2.506,0.301,0.356,0.266,0,0.135,0.001
Albania,2023,5.304,5.44,5.168,1.438,0.924,0.638,0.69,0.138,0.049
Albania,2022,5.277,5.406,5.148,1.449,0.951,0.48,0.549,0.133,0.037
Albania,2021,5.199,5.321,5.076,1.439,0.646,0.719,0.511,0.138,0.028
Albania,2020,5.117,5.234,5.001,1.008,0.529,0.646,0.491,0.168,0.024
Albania,2019,4.883,4.993,4.773,0.907,0.83,0.846,0.462,0.171,0.025
Algeria,2023,5.364,5.476,5.251,1.324,1.191,0.568,0.247,0.091,0.2
Algeria,2022,5.329,5.451,5.207,1.353,1.298,0.409,0.252,0.073,0.152
Algeria,2021,5.122,5.215,5.03,1.363,0.97,0.643,0.146,0.106,0.15
Algeria,2020,4.887,4.991,4.783,0.946,0.765,0.552,0.119,0.144,0.12
Algeria,2019,5.005,5.092,4.918,0.944,1.143,0.745,0.084,0.119,0.129
Argentina,2023,6.188,6.306,6.07,1.562,1.381,0.585,0.681,0.087,0.08
Argentina,2022,6.024,6.147,5.9,1.59,1.388,0.427,0.587,0.088,0.082
Argentina,2021,5.967,6.09,5.844,1.592,1.102,0.662,0.555,0.081,0.085
Argentina,2020,5.929,6.04,5.819,1.162,0.98,0.646,0.544,0.069,0.067
Argentina,2019,5.975,6.079,5.87,1.028,1.373,0.85,0.521,0.07,0.06
Armenia,2023,5.455,5.56,5.35,1.444,1.154,0.603,0.65,0.051,0.173
Armenia,2022,5.342,5.47,5.213,1.466,1.134,0.443,0.551,0.053,0.16
Armenia,2021,5.399,5.519,5.278,1.434,0.82,0.668,0.558,0.054,0.21
Armenia,2020,5.283,5.397,5.168,0.996,0.758,0.585,0.54,0.079,0.198
Armenia,2019,4.677,4.792,4.562,0.808,1.035,0.776,0.378,0.107,0.105
Australia,2023,7.057,7.141,6.973,1.854,1.461,0.692,0.756,0.225,0.323
Australia,2022,7.095,7.18,7.009,1.899,1.497,0.532,0.677,0.242,0.31
Australia,2021,7.162,7.244,7.081,1.9,1.203,0.772,0.676,0.258,0.341
Australia,2020,7.183,7.265,7.102,1.453,1.076,0.801,0.647,0.291,0.317
Australia,2019,7.223,7.305,7.141,1.31,1.477,1.023,0.622,0.325,0.336
Austria,2023,6.905,6.986,6.824,1.885,1.336,0.696,0.703,0.214,0.305
Austria,2022,7.097,7.176,7.018,1.927,1.382,0.535,0.63,0.191,0.31
Austria,2021,7.163,7.237,7.089,1.931,1.165,0.774,0.623,0.193,0.329
Austria,2020,7.268,7.337,7.198,1.492,1.062,0.782,0.64,0.215,0.292
Austria,2019,7.294,7.36,7.229,1.317,1.437,1.001,0.603,0.256,0.281
Azerbaijan,2023,4.893,5.018,4.768,1.433,0.876,0.496,0.668,0.112,0.199
Azerbaijan,2021,5.173,5.265,5.082,1.458,1.093,0.56,0.601,0.023,0.341
Azerbaijan,2020,5.171,5.25,5.091,1.025,0.841,0.541,0.526,0.043,0.276
Azerbaijan,2019,5.165,5.232,5.098,0.99,1.181,0.731,0.468,0.04,0.247
Bahrain,2023,5.959,6.153,5.766,?,?,?,?,?,?
Bahrain,2022,6.173,6.369,5.977,1.883,1.269,0.389,0.748,0.199,0.138
Bahrain,2021,6.647,6.779,6.514,1.854,1.029,0.625,0.693,0.199,0.155
Bahrain,2020,6.647,6.779,6.514,1.409,0.899,0.662,0.661,0.246,0.139
Bahrain,2019,6.227,6.388,6.067,1.297,1.315,0.839,0.61,0.287,0.127
Bangladesh,2023,3.886,3.994,3.778,1.122,0.249,0.513,0.775,0.14,0.167
Bangladesh,2022,4.282,4.416,4.148,1.133,0.513,0.355,0.617,0.139,0.165
Bangladesh,2021,5.155,5.262,5.049,1.06,0.614,0.581,0.622,0.125,0.187
Bangladesh,2020,5.025,5.115,4.934,0.635,0.52,0.514,0.603,0.161,0.164
Bangladesh,2019,4.833,4.911,4.754,0.556,0.869,0.695,0.604,0.177,0.177
Belarus,2021,5.821,5.95,5.693,1.562,1.157,0.629,0.342,0.04,0.282
Belarus,2020,5.534,5.625,5.442,1.124,1.007,0.56,0.326,0.07,0.199
Belarus,2019,5.54,5.613,5.467,1.019,1.387,0.753,0.291,0.09,0.194
