log_gdp_per_capita,social_support,healthy_life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption,val
0.650973,0.533512,0.561126,0.774446,0.32243,0.093333,0.275717
0.655953,0.551609,0.422164,0.590613,0.310748,0.070476,0.30252
0.651426,0.347185,0.632366,0.541069,0.32243,0.053333,0.306341
0.456315,0.268767,0.568162,0.514993,0.392523,0.045714,0.287779
0.410593,0.470509,0.744063,0.477184,0.399533,0.047619,0.282535
0.599366,0.712466,0.49956,0.196871,0.212617,0.380952,0.117429
0.612494,0.784182,0.359719,0.20339,0.170561,0.289524,0.115349
0.617021,0.564343,0.565523,0.065189,0.247664,0.285714,0.110071
0.428248,0.426944,0.485488,0.029987,0.336449,0.228571,0.109034
0.707107,0.839812,0.514512,0.762712,0.203271,0.152381,0.274903
0.719783,0.844504,0.37555,0.640156,0.205607,0.15619,0.299344
0.720688,0.652815,0.582234,0.598435,0.189252,0.161905,0.270197
0.52603,0.571046,0.568162,0.584094,0.161215,0.127619,0.257892
0.465369,0.83445,0.747581,0.554107,0.163551,0.114286,0.270278
0.653689,0.687668,0.530343,0.722295,0.119159,0.329524,0.246584
0.663649,0.674263,0.389622,0.59322,0.123832,0.304762,0.28052
0.649163,0.463807,0.587511,0.602347,0.126168,0.4,0.287246
0.450883,0.422252,0.514512,0.578879,0.184579,0.377143,0.292428
0.365776,0.607909,0.682498,0.367666,0.25,0.2,0.301728
0.839294,0.893432,0.608619,0.860495,0.525701,0.615238,0.282785
0.859665,0.91756,0.467898,0.757497,0.565421,0.590476,0.28796
0.860118,0.720509,0.67898,0.756193,0.602804,0.649524,0.28116
0.657764,0.635389,0.704485,0.718383,0.679907,0.60381,0.276873
0.593029,0.904155,0.899736,0.685789,0.759346,0.64,0.289747
0.853327,0.809651,0.612137,0.791395,0.5,0.580952,0.355164
0.87234,0.840483,0.470536,0.696219,0.446262,0.590476,0.359533
0.874151,0.69504,0.680739,0.687093,0.450935,0.626667,0.350111
0.675419,0.626005,0.687775,0.709257,0.502336,0.55619,0.352338
0.596197,0.877346,0.880387,0.661017,0.598131,0.535238,0.351359
0.64871,0.50134,0.436236,0.745763,0.261682,0.379048,0.21141
0.660027,0.646783,0.492524,0.658409,0.053738,0.649524,0.214818
0.464011,0.477882,0.475814,0.560626,0.100467,0.525714,0.224594
0.448167,0.705764,0.64292,0.485007,0.093458,0.470476,0.208507
0.852422,0.764745,0.342128,0.850065,0.464953,0.262857,0.108914
0.839294,0.603887,0.549692,0.778357,0.464953,0.295238,0.101076
0.637845,0.516756,0.582234,0.736636,0.574766,0.264762,0.094634
0.587144,0.795576,0.737907,0.670143,0.670561,0.241905,0.095245
0.507922,0.081099,0.451187,0.885267,0.327103,0.318095,0.198252
0.512902,0.258043,0.312225,0.67927,0.324766,0.314286,0.188925
0.479855,0.325737,0.510994,0.685789,0.292056,0.35619,0.178154
0.28746,0.262735,0.452067,0.661017,0.376168,0.312381,0.1648
0.251698,0.496649,0.611258,0.662321,0.413551,0.337143,0.162035
0.707107,0.689678,0.55321,0.32073,0.093458,0.537143,0.36782
0.508828,0.589142,0.492524,0.29987,0.163551,0.379048,0.365176
0.461295,0.843834,0.662269,0.254237,0.21028,0.369524,0.36232
0.845632,0.879357,0.60686,0.825293,0.397196,0.592381,0.365276
0.863287,0.885389,0.46438,0.644068,0.320093,0.52,0.377095
0.863287,0.655496,0.671944,0.516297,0.114486,0.388571,0.363051
0.662291,0.58311,0.656992,0.512386,0.205607,0.35619,0.362192
0.586691,0.851877,0.848725,0.526728,0.343458,0.398095,0.367004
0.413762,0.0,0.24978,0.614081,0.261682,0.48,0.093808
0.418289,0.076408,0.109059,0.501956,0.266355,0.481905,0.090405
0.165686,0.150134,0.288478,0.404172,0.46028,0.24,0.088299
0.550928,0.704424,0.4292,0.812256,0.233645,0.11619,0.247191
0.56134,0.709786,0.289358,0.719687,0.240654,0.114286,0.247453
0.568583,0.504021,0.488127,0.692308,0.261682,0.121905,0.278239
0.381168,0.438338,0.427441,0.657106,0.32243,0.121905,0.289691
0.330919,0.679625,0.582234,0.623207,0.32243,0.139048,0.237422
0.663196,0.797587,0.516271,0.684485,0.574766,0.0,0.439346
0.664101,0.826408,0.377309,0.507171,0.577103,0.015238,0.441304
0.664554,0.630027,0.584872,0.458931,0.570093,0.011429,0.4367
0.46718,0.530161,0.543536,0.389831,0.609813,0.009524,0.438524
0.415573,0.72118,0.715919,0.27249,0.616822,0.001905,0.441342
0.654142,0.563673,0.211961,0.614081,0.03271,0.15619,0.150933
0.665912,0.61193,0.076517,0.500652,0.049065,0.135238,0.145342
0.680398,0.460456,0.246262,0.619296,0.028037,0.194286,0.144852
0.49751,0.399464,0.299033,0.577575,0.063084,0.167619,0.131836
0.451788,0.642091,0.434477,0.538462,0.077103,0.194286,0.12742
0.647352,0.764745,0.48197,0.767927,0.303738,0.270476,0.233639
0.658216,0.752011,0.340369,0.602347,0.306075,0.260952,0.228235
0.661838,0.613941,0.540897,0.586701,0.306075,0.255238,0.220572
0.465369,0.546917,0.502199,0.54498,0.331776,0.222857,0.215966
0.431417,0.827748,0.673703,0.504563,0.308411,0.20381,0.218448
0.737438,0.898794,0.498681,0.683181,0.193925,0.011429,0.410851
0.740154,0.890751,0.358839,0.601043,0.247664,0.024762,0.428966
0.735627,0.6937,0.562885,0.608866,0.287383,0.04,0.448926
0.534631,0.621314,0.512753,0.518905,0.292056,0.009524,0.4528
0.47397,0.893432,0.684257,0.419817,0.242991,0.0,0.449863
0.342236,0.373324,0.240985,0.504563,0.404206,0.340952,0.088702
0.347669,0.459786,0.094107,0.421121,0.439252,0.215238,0.082779
0.352648,0.292895,0.281442,0.372881,0.434579,0.24,0.072557
0.16478,0.230563,0.157432,0.371578,0.425234,0.232381,0.072256
0.136713,0.536863,0.275286,0.294654,0.434579,0.24,0.075343
