attribute,year,ladder_score,upperwhisker,lowerwhisker,log_gdp_per_capita,social_support,healthy_life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption,val
year,1.0,0.0552457249982413,0.06387591641372248,0.04682479019341623,0.3988026696173258,-0.0437538785709291,-0.21980835030674326,0.41142428290863564,-0.2732767223005823,0.06789911647548347,0.06066506524943663
ladder_score,0.0552457249982413,1.0,0.9993931430013948,0.9994323548894848,0.6931415078121914,0.6502529807605767,0.6737006226120748,0.5374374231762504,0.09027204034627145,0.46085558363363965,0.4900395946530795
upperwhisker,0.06387591641372248,0.9993931430013948,1.0,0.9976525176287321,0.6904464191278292,0.644358777520799,0.6632974993456798,0.5396758303556779,0.08982120773537064,0.4577982863286762,0.4815694269745424
lowerwhisker,0.04682479019341623,0.9994323548894848,0.9976525176287321,1.0,0.6949444563523707,0.6551865971636752,0.6829947617478679,0.5346751989205273,0.09060265454936166,0.46329299969313326,0.49766294712132686
log_gdp_per_capita,0.3988026696173258,0.6931415078121914,0.6904464191278292,0.6949444563523707,1.0,0.5572012682219989,0.4844231930139144,0.4698832616366372,-0.20414643145571532,0.3474068020123805,0.5293072895556604
social_support,-0.0437538785709291,0.6502529807605767,0.644358777520799,0.6551865971636752,0.5572012682219989,1.0,0.5062325637789891,0.32730560182716606,0.055205548557051454,0.19637170867270284,0.48303767398212805
healthy_life_expectancy,-0.21980835030674326,0.6737006226120748,0.6632974993456798,0.6829947617478679,0.4844231930139144,0.5062325637789891,1.0,0.23404570506959604,-0.006835066598875228,0.2729766331596192,0.5218172702874725
freedom_to_make_life_choices,0.41142428290863564,0.5374374231762504,0.5396758303556779,0.5346751989205273,0.4698832616366372,0.32730560182716606,0.23404570506959604,1.0,0.07869077580950175,0.39471046433147405,0.11957099020185469
generosity,-0.2732767223005823,0.09027204034627145,0.08982120773537064,0.09060265454936166,-0.20414643145571532,0.055205548557051454,-0.006835066598875228,0.07869077580950175,1.0,0.18978331377054172,-0.16817256972185565
perceptions_of_corruption,0.06789911647548347,0.46085558363363965,0.4577982863286762,0.46329299969313326,0.3474068020123805,0.19637170867270284,0.2729766331596192,0.39471046433147405,0.18978331377054172,1.0,0.1081797313248028
val,0.06066506524943663,0.4900395946530795,0.4815694269745424,0.49766294712132686,0.5293072895556604,0.48303767398212805,0.5218172702874725,0.11957099020185469,-0.16817256972185565,0.1081797313248028,1.0
