year,ladder_score,upperwhisker,lowerwhisker,log_gdp_per_capita,social_support,healthy_life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption,val
2023,0.476377,0.486024,0.466939,0.650973,0.533512,0.561126,0.774446,0.32243,0.093333,0.275717
2022,0.470807,0.478932,0.462857,0.655953,0.551609,0.422164,0.590613,0.310748,0.070476,0.30252
2021,0.454714,0.461202,0.448163,0.651426,0.347185,0.632366,0.541069,0.32243,0.053333,0.306341
2020,0.437797,0.443054,0.432857,0.456315,0.268767,0.568162,0.514993,0.392523,0.045714,0.287779
2019,0.389519,0.392783,0.386327,0.410593,0.470509,0.744063,0.477184,0.399533,0.047619,0.282535
2023,0.488756,0.493534,0.483878,0.599366,0.712466,0.49956,0.196871,0.212617,0.380952,0.117429
2022,0.481535,0.488319,0.474898,0.612494,0.784182,0.359719,0.20339,0.170561,0.289524,0.115349
2021,0.438828,0.439091,0.438776,0.617021,0.564343,0.565523,0.065189,0.247664,0.285714,0.110071
2020,0.390345,0.392365,0.388367,0.428248,0.426944,0.485488,0.029987,0.336449,0.228571,0.109034
2023,0.658758,0.666667,0.65102,0.707107,0.839812,0.514512,0.762712,0.203271,0.152381,0.274903
2022,0.624923,0.6335,0.616327,0.719783,0.844504,0.37555,0.640156,0.205607,0.15619,0.299344
2021,0.613163,0.62161,0.604898,0.720688,0.652815,0.582234,0.598435,0.189252,0.161905,0.270197
2020,0.605323,0.611181,0.599796,0.52603,0.571046,0.568162,0.584094,0.161215,0.127619,0.257892
2019,0.614813,0.619316,0.610204,0.465369,0.83445,0.747581,0.554107,0.163551,0.114286,0.270278
2023,0.50753,0.511055,0.504082,0.653689,0.687668,0.530343,0.722295,0.119159,0.329524,0.246584
2022,0.484217,0.492282,0.476122,0.663649,0.674263,0.389622,0.59322,0.123832,0.304762,0.28052
2021,0.495977,0.502503,0.489388,0.649163,0.463807,0.587511,0.602347,0.126168,0.4,0.287246
2020,0.472045,0.477055,0.466939,0.450883,0.422252,0.514512,0.578879,0.184579,0.377143,0.292428
2019,0.347019,0.350855,0.343265,0.365776,0.607909,0.682498,0.367666,0.25,0.2,0.301728
2023,0.838044,0.840843,0.835306,0.839294,0.893432,0.608619,0.860495,0.525701,0.615238,0.282785
2022,0.845884,0.848978,0.842653,0.859665,0.91756,0.467898,0.757497,0.565421,0.590476,0.28796
2021,0.859707,0.862328,0.857347,0.860118,0.720509,0.67898,0.756193,0.602804,0.649524,0.28116
2020,0.86404,0.866708,0.861633,0.657764,0.635389,0.704485,0.718383,0.679907,0.60381,0.276873
2019,0.872292,0.875052,0.869592,0.593029,0.904155,0.899736,0.685789,0.759346,0.64,0.289747
2023,0.806685,0.808511,0.804898,0.853327,0.809651,0.612137,0.791395,0.5,0.580952,0.355164
2022,0.846297,0.848144,0.84449,0.87234,0.840483,0.470536,0.696219,0.446262,0.590476,0.359533
2021,0.859913,0.860868,0.85898,0.874151,0.69504,0.680739,0.687093,0.450935,0.626667,0.350111
2020,0.881576,0.881727,0.881224,0.675419,0.626005,0.687775,0.709257,0.502336,0.55619,0.352338
2019,0.88694,0.886525,0.887551,0.596197,0.877346,0.880387,0.661017,0.598131,0.535238,0.351359
